x,f_x
0,0.0
1,2.2873552871788423
2,3.2054036099952326
3,0.5969660354194485
4,3.7015368116007656
5,5.301727848863315
6,1.7195544708710158
7,4.449712664768673
8,7.310423586239834
9,3.299066130326221
10,4.6911017235067884
11,9.243959369565669
12,5.2955967492350124
13,4.411574907913686
14,11.030953006131025
15,7.658926966427985
16,3.5776692416084472
17,12.577559805252724
18,10.323003816424494
19,2.160765865798756
20,13.781653485326544
21,13.204813995523352
22,0.14585379577195756
23,14.539826676516364
24,16.20496497550224
25,2.4638510936450486
26,14.752609041830203
27,19.20932402241653
28,5.644066456910085
29,14.329096136204713
30,22.091478201065616
31,9.34772902265842
